id,title,overview,release_year,poster_path,genre,cast_ids,company_ids,keyword_ids,created_at,updated_at
1087192,How to Train Your Dragon,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2025.0,https://image.tmdb.org/t/p/w500/41dfWUWtg1kUZcJYe6Zk6ewxzMu.jpg,"['Fantasy', 'Family', 'Action']","[2803710, 2064124, 17276, 11109, 3792786, 1139349, 1587577, 2104260, 1216581, 11115]","[521, 2527]","[334, 5895, 9714, 12554, 14643, 192913, 245230, 246466, 288816, 290395, 293198, 325769]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"As the Demon Slayer Corps members and Hashira engaged in a group strength training program, the Hashira Training, in preparation for the forthcoming battle against the demons, Muzan Kibutsuji appears at the Ubuyashiki Mansion. With the head of the Demon Corps in danger, Tanjiro and the Hashira rush to the headquarters but are plunged into a deep descent to a mysterious space by the hands of Muzan Kibutsuji.  The destination of where Tanjiro and Demon Slayer Corps have fallen is the demons' stronghold – the Infinity Castle. And so, the battleground is set as the final battle between the Demon Slayer Corps and the demons ignites.",2025.0,https://image.tmdb.org/t/p/w500/aFRDH3P7TX61FVGpaLhKr6QiOC1.jpg,"['Animation', 'Action', 'Fantasy', 'Thriller']","[1256603, 1563442, 233590, 119145, 90571, 1452028, 1245094, 9705, 24647, 1324472]","[5887, 2883, 2918]","[6152, 9663, 13141, 15001, 207826, 210024, 227581, 240485, 254547]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
552524,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,2025.0,https://image.tmdb.org/t/p/w500/c32TsWLES7kL1uy6fF03V67AIYX.jpg,"['Family', 'Science Fiction', 'Comedy', 'Adventure']","[3988423, 3025125, 66193, 58225, 141034, 24047, 59401, 13445, 4022587, 1278487]","[2, 118854]","[1668, 6733, 10041, 9951, 14549, 14729, 18035, 157701, 193907, 236343, 237590, 245230, 251829, 258197, 316666]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1071585,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.",2025.0,https://image.tmdb.org/t/p/w500/oekamLQrwlJjRNmfaBE4llIvkir.jpg,"['Action', 'Science Fiction', 'Thriller']","[2043430, 1255540, 2131391, 1243496, 3444018, 1071699, 2089274, 1776390, 52933, 55936]","[3172, 76907, 89115]","[803, 310, 1721, 1373, 1829, 3561, 9663, 9707, 10286, 14544, 33630, 158474, 200055, 202314, 204318, 212661, 225012, 231185, 240764, 322496, 335360, 338645, 340171]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025.0,https://image.tmdb.org/t/p/w500/x26MtUlwtWD26d0G0FXcppxCJio.jpg,"['Science Fiction', 'Adventure']","[1253360, 556356, 21042, 1597365, 202032, 936970, 1294982, 10871, 65447, 34546]","[420, 176762]","[9715, 9717, 18035, 175629, 180547, 208992, 214730, 355725]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1315986,Man with No Past,"Waking up in an unfamiliar city, a man with no memory must confront the mysteries of his own identity. However, his desperate search to uncover the past pits him against a powerful enemy, leading to a showdown that ultimately reveals the truth.",2025.0,https://image.tmdb.org/t/p/w500/eWHvROuznSzcxBAAkzX1X0Rmzoe.jpg,"['Action', 'Drama']","[10127, 4161214, 20982, 1262750, 58428, 201871, 1365465, 1739101, 1121580, 5189432]","[177095, 44311]","[40850, 209525]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1124619,Bride Hard,"Sam is a secret agent whose toughest mission to date is pleasing her bride-to-be best friend at a lavish destination wedding. When a team of mercenaries crashes the party and takes the guests hostage, Sam is thrown into a fight unlike any before — one where she can’t risk blowing her cover or ruining the big day. As she takes on the bad guys in a high-stakes battle disguised as a fairy-tale affair, she realizes the real threat might be closer than she thinks.",2025.0,https://image.tmdb.org/t/p/w500/3mExdWLSxAiUCb4NMcYmxSkO7n4.jpg,"['Action', 'Comedy']","[221581, 221098, 34612, 1180099, 1542878, 2088734, 53492, 21710, 13023, 10822]","[193159, 106810, 63369, 239194, 249368, 177499, 215935, 231386]","[3070, 4289, 5248, 237463, 247799, 309422]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",2025.0,https://image.tmdb.org/t/p/w500/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,"['Science Fiction', 'Adventure', 'Action']","[1785590, 993774, 3292, 39391, 51797, 1428070, 1601451, 61263, 21088, 5441666]","[184898, 94218, 11565, 216687]","[736, 1701, 9715, 3289, 9717, 9951, 9181, 15162, 33637, 179430, 179431, 194404, 312528]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1011477,Karate Kid: Legends,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",2025.0,https://image.tmdb.org/t/p/w500/AEgggzRr1vZCLY86MAp93li43z.jpg,"['Action', 'Adventure', 'Drama']","[18897, 3033265, 11866, 2030076, 21702, 1148455, 204191, 2877, 4259090, 5510706]","[5, 5219, 22213]","[242, 779, 780, 1310, 1594, 3436, 33683, 156159, 156162, 194166, 226747, 325853]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
1119878,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",2025.0,https://image.tmdb.org/t/p/w500/cQN9rZj06rXMVkk76UF1DfBAico.jpg,"['Action', 'Thriller', 'Drama']","[3896, 64439, 55174, 2459258, 5538791, 42394, 93119, 1386458, 4841107, 2259333]","[14589, 33603, 19456, 33768]","[3070, 9663, 192779, 202371]",2025-07-27T07:34:45.321093+00:00,2025-07-27T07:34:44.203+00:00
